"","area_resultado","programa","acao","sub_acao","quantificacao_meta","quantificacao_executada","relacao_fisica","relacao_fisica_agrupamento","valor_orcado","valor_empenhado","relacao_financeira","relacao_financeira_agrupamento","eficacia","programa_tipo"
"1097",10,236,2345,2,34,23,0.676470588235294,"0.4 a 0.7",0,0,-1,"Não há meta",-1,"Sustentador"
"1098",3,212,2844,4,1,0,0,"Não há execução",0,0,-1,"Não há meta",0,"Sustentador"
"1099",6,220,2889,10,1,0,0,"Não há execução",0,0,-1,"Não há meta",0,"Sustentador"
"1100",7,226,1207,11,456,220,0.482456140350877,"0.4 a 0.7",6000,271926,45.321,"Acima de 2.0",0.0106453103944659,"Sustentador"
"1101",6,9,2365,7,1e+06,956435,0.956435,"0.7 a 1.3",13103240,9904966,0.755917315106798,"0.7 a 1.3",1.26526415348053,"Associado"
"1102",9,73,2580,1,290,276,0.951724137931034,"0.7 a 1.3",4557265,4389387,0.963162554734035,"0.7 a 1.3",0.988124132156372,"Associado"
"1103",1,203,2894,6,200,45,0.225,"0.01 a 0.4",0,0,-1,"Não há meta",-1,"Sustentador"
"1104",9,69,2514,4,60,0,0,"Não há execução",5000,0,0,"Não há execução",0,"Associado"
"1105",6,85,2603,5,25,0,0,"Não há execução",0,0,-1,"Não há meta",0,"Associado"
"1106",5,86,2629,6,1,0,0,"Não há execução",5000,0,0,"Não há execução",0,"Associado"
"1107",10,132,2120,2,2500000,2136931,0.8547724,"0.7 a 1.3",1300000,1499201,1.15323153846154,"0.7 a 1.3",0.74119758605957,"Associado"
"1108",7,225,1231,26,588,200,0.340136054421769,"0.01 a 0.4",11655632,3275566,0.281028604883888,"0.01 a 0.4",1.21032536029816,"Sustentador"
"1109",1,117,2662,7,50,13,0.26,"0.01 a 0.4",12288040,4518172,0.367688581742898,"0.01 a 0.4",0.70712012052536,"Associado"
"1110",10,238,2866,3,5700,3300,0.578947368421053,"0.4 a 0.7",290000,164366,0.566779310344828,"0.4 a 0.7",1.02146875858307,"Sustentador"
"1111",5,217,2758,7,50,0,0,"Não há execução",0,0,-1,"Não há meta",0,"Sustentador"
"1112",10,236,2345,1,75000,71618,0.954906666666667,"0.7 a 1.3",2000,0,0,"Não há execução",-1,"Sustentador"
"1113",7,226,1207,15,1000,0,0,"Não há execução",0,0,-1,"Não há meta",0,"Sustentador"
"1114",1,30,2620,2,1159277,1052802,0.908153961477714,"0.7 a 1.3",4647851,4469306,0.96158547251192,"0.7 a 1.3",0.944433987140656,"Associado"
